,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size,label_array
0,2022-5-25-15-43-54,-,1,1,1,0,1,1,10000,,,,,91.7,93.98759504,,,19637,"[1, 1, 1, 0, 1, 1]"
1,2022-5-25-15-43-54,-,1,1,1,1,1,1,10000,,,,,91.7,93.98759504,,,19637,"[1, 1, 1, 1, 1, 1]"
2,2022-5-25-15-43-54,-,0,1,1,0,1,1,10000,,,,,91.69,93.92757103,,,19661,"[0, 1, 1, 0, 1, 1]"
3,2022-5-25-15-43-54,-,0,1,1,1,1,1,10000,,,,,91.69,93.92757103,,,19661,"[0, 1, 1, 1, 1, 1]"
4,2022-5-25-15-43-54,-,1,1,1,0,1,0,10000,,,,,80.37,84.14365746,,,20015,"[1, 1, 1, 0, 1, 0]"
5,2022-5-25-15-43-54,-,1,1,1,1,1,0,10000,,,,,80.37,84.14365746,,,20015,"[1, 1, 1, 1, 1, 0]"
6,2022-5-25-15-43-54,-,0,1,1,0,1,0,10000,,,,,80.39,84.10364146,,,20040,"[0, 1, 1, 0, 1, 0]"
7,2022-5-25-15-43-54,-,0,1,1,1,1,0,10000,,,,,80.39,84.10364146,,,20040,"[0, 1, 1, 1, 1, 0]"
8,2022-5-25-15-43-54,-,1,1,1,0,0,1,10000,,,,,92.02,94.15766307,,,22284,"[1, 1, 1, 0, 0, 1]"
9,2022-5-25-15-43-54,-,1,1,1,1,0,1,10000,,,,,92.02,94.15766307,,,22284,"[1, 1, 1, 1, 0, 1]"
10,2022-5-25-15-43-54,-,0,1,1,0,0,1,10000,,,,,92.01,94.08763505,,,22314,"[0, 1, 1, 0, 0, 1]"
11,2022-5-25-15-43-54,-,0,1,1,1,0,1,10000,,,,,92.01,94.08763505,,,22314,"[0, 1, 1, 1, 0, 1]"
12,2022-5-25-15-43-54,-,1,1,1,0,0,0,10000,,,,,80.37,84.14365746,,,22680,"[1, 1, 1, 0, 0, 0]"
13,2022-5-25-15-43-54,-,1,1,1,1,0,0,10000,,,,,80.37,84.14365746,,,22680,"[1, 1, 1, 1, 0, 0]"
14,2022-5-25-15-43-54,-,0,1,1,0,0,0,10000,,,,,80.39,84.10364146,,,22711,"[0, 1, 1, 0, 0, 0]"
15,2022-5-25-15-43-54,-,0,1,1,1,0,0,10000,,,,,80.39,84.10364146,,,22711,"[0, 1, 1, 1, 0, 0]"
16,2022-5-25-15-43-54,-,1,1,0,0,1,1,10000,,,,,89.56,92.43697479,,,28697,"[1, 1, 0, 0, 1, 1]"
17,2022-5-25-15-43-54,-,1,1,0,1,1,1,10000,,,,,89.56,92.43697479,,,28697,"[1, 1, 0, 1, 1, 1]"
18,2022-5-25-15-43-54,-,0,1,0,0,1,1,10000,,,,,89.43,92.30692277,,,28769,"[0, 1, 0, 0, 1, 1]"
19,2022-5-25-15-43-54,-,0,1,0,1,1,1,10000,,,,,89.43,92.30692277,,,28769,"[0, 1, 0, 1, 1, 1]"
20,2022-5-25-15-43-54,-,1,1,0,0,1,0,10000,,,,,80.37,84.14365746,,,28769,"[1, 1, 0, 0, 1, 0]"
21,2022-5-25-15-43-54,-,1,1,0,1,1,0,10000,,,,,80.37,84.14365746,,,28769,"[1, 1, 0, 1, 1, 0]"
22,2022-5-25-15-43-54,-,0,1,0,0,1,0,10000,,,,,80.39,84.10364146,,,28841,"[0, 1, 0, 0, 1, 0]"
23,2022-5-25-15-43-54,-,0,1,0,1,1,0,10000,,,,,80.39,84.10364146,,,28841,"[0, 1, 0, 1, 1, 0]"
24,2022-5-25-15-43-54,-,1,1,0,0,0,1,10000,,,,,89.8,92.62705082,,,30250,"[1, 1, 0, 0, 0, 1]"
25,2022-5-25-15-43-54,-,1,1,0,1,0,1,10000,,,,,89.8,92.62705082,,,30250,"[1, 1, 0, 1, 0, 1]"
26,2022-5-25-15-43-54,-,1,1,0,0,0,0,10000,,,,,80.37,84.14365746,,,30326,"[1, 1, 0, 0, 0, 0]"
27,2022-5-25-15-43-54,-,1,1,0,1,0,0,10000,,,,,80.37,84.14365746,,,30326,"[1, 1, 0, 1, 0, 0]"
28,2022-5-25-15-43-54,-,0,1,0,0,0,1,10000,,,,,89.65,92.5170068,,,30327,"[0, 1, 0, 0, 0, 1]"
29,2022-5-25-15-43-54,-,0,1,0,1,0,1,10000,,,,,89.65,92.5170068,,,30327,"[0, 1, 0, 1, 0, 1]"
30,2022-5-25-15-43-54,-,0,1,0,0,0,0,10000,,,,,80.39,84.10364146,,,30403,"[0, 1, 0, 0, 0, 0]"
31,2022-5-25-15-43-54,-,0,1,0,1,0,0,10000,,,,,80.39,84.10364146,,,30403,"[0, 1, 0, 1, 0, 0]"
