,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-23-13-24-5,-,0,1,0,0,0,0,10000,,,,,80.39,84.10364145658264,,,30403.0
1,2022-5-23-13-24-5,-,0,1,0,0,0,1,10000,,,,,89.64999999999999,92.51700680272108,,,30327.0
2,2022-5-23-13-24-5,-,0,1,0,1,0,0,10000,,,,,80.39,84.10364145658264,,,30403.0
3,2022-5-23-13-24-5,-,0,1,0,1,0,1,10000,,,,,89.64999999999999,92.51700680272108,,,30327.0
4,2022-5-23-13-24-5,-,0,1,1,0,0,0,10000,,,,,80.39,84.10364145658264,,,22711.0
5,2022-5-23-13-24-5,-,0,1,1,0,0,1,10000,,,,,92.01,94.08763505402162,,,22314.0
6,2022-5-23-13-24-5,-,0,1,1,1,0,0,10000,,,,,80.39,84.10364145658264,,,22711.0
7,2022-5-23-13-24-5,-,0,1,1,1,0,1,10000,,,,,92.01,94.08763505402162,,,22314.0
8,2022-5-23-13-24-5,-,1,1,0,0,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,30326.0
9,2022-5-23-13-24-5,-,1,1,0,0,0,1,10000,,,,,89.8,92.62705082032812,,,30250.0
10,2022-5-23-13-24-5,-,1,1,0,1,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,30326.0
11,2022-5-23-13-24-5,-,1,1,0,1,0,1,10000,,,,,89.8,92.62705082032812,,,30250.0
12,2022-5-23-13-24-5,-,1,1,1,0,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,22680.0
13,2022-5-23-13-24-5,-,1,1,1,0,0,1,10000,,,,,92.02,94.15766306522609,,,22284.0
14,2022-5-23-13-24-5,-,1,1,1,1,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,22680.0
15,2022-5-23-13-24-5,-,1,1,1,1,0,1,10000,,,,,92.02,94.15766306522609,,,22284.0
