,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-23-18-19-20,-,0,1,0,0,0,0,30000,,,,,79.92333333333333,84.10364145658264,,,43684.0
1,2022-5-23-18-19-20,-,0,1,0,0,0,1,30000,,,,,89.42333333333333,92.51700680272108,,,43619.0
2,2022-5-23-18-19-20,-,0,1,0,1,0,0,30000,,,,,79.92333333333333,84.10364145658264,,,43684.0
3,2022-5-23-18-19-20,-,0,1,0,1,0,1,30000,,,,,89.42333333333333,92.51700680272108,,,43619.0
4,2022-5-23-18-19-20,-,0,1,1,0,0,0,30000,,,,,79.92333333333333,84.10364145658264,,,29991.0
5,2022-5-23-18-19-20,-,0,1,1,0,0,1,30000,,,,,91.52333333333334,94.08763505402162,,,29577.0
6,2022-5-23-18-19-20,-,0,1,1,1,0,0,30000,,,,,79.92333333333333,84.10364145658264,,,29991.0
7,2022-5-23-18-19-20,-,0,1,1,1,0,1,30000,,,,,91.52333333333334,94.08763505402162,,,29577.0
8,2022-5-23-18-19-20,-,1,1,0,0,0,0,30000,,,,,79.92333333333333,84.14365746298519,,,43592.0
9,2022-5-23-18-19-20,-,1,1,0,0,0,1,30000,,,,,89.56,92.62705082032812,,,43527.0
10,2022-5-23-18-19-20,-,1,1,0,1,0,0,30000,,,,,79.92333333333333,84.14365746298519,,,43592.0
11,2022-5-23-18-19-20,-,1,1,0,1,0,1,30000,,,,,89.56,92.62705082032812,,,43527.0
12,2022-5-23-18-19-20,-,1,1,1,0,0,0,30000,,,,,79.92333333333333,84.14365746298519,,,29962.0
13,2022-5-23-18-19-20,-,1,1,1,0,0,1,30000,,,,,91.56333333333333,94.15766306522609,,,29549.0
14,2022-5-23-18-19-20,-,1,1,1,1,0,0,30000,,,,,79.92333333333333,84.14365746298519,,,29962.0
15,2022-5-23-18-19-20,-,1,1,1,1,0,1,30000,,,,,91.56333333333333,94.15766306522609,,,29549.0
