,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-13-7-43-42,RNN,0,1,0,0,0,0,30000,0.8292999863624573,0.8764505982398987,0.40491509437561035,0.3134421110153198,62.970000000000006,69.26770708283313,40,25
1,2022-5-13-7-43-42,RNN,0,1,0,0,0,1,30000,0.8261333107948303,0.872148871421814,0.4126245081424713,0.3183203339576721,76.27000000000001,82.28291316526611,40,25
2,2022-5-13-7-43-42,RNN,0,1,0,1,0,0,30000,0.8250666856765747,0.877651035785675,0.42069441080093384,0.30524763464927673,62.970000000000006,69.26770708283313,40,25
3,2022-5-13-7-43-42,RNN,0,1,0,1,0,1,30000,0.8152666687965393,0.8674469590187073,0.4458886981010437,0.3165188431739807,76.27000000000001,82.28291316526611,40,25
4,2022-5-13-7-43-42,RNN,0,1,1,0,0,0,30000,0.8002333045005798,0.8618447184562683,0.4668682813644409,0.3389722406864166,62.970000000000006,69.26770708283313,40,25
5,2022-5-13-7-43-42,RNN,0,1,1,0,0,1,30000,0.8181666731834412,0.8580431938171387,0.4224708080291748,0.36157479882240295,79.74666666666667,85.12404961984794,40,25
6,2022-5-13-7-43-42,RNN,0,1,1,1,0,0,30000,0.9413333535194397,0.8720487952232361,0.16919304430484772,0.4055285155773163,62.970000000000006,69.26770708283313,40,25
7,2022-5-13-7-43-42,RNN,0,1,1,1,0,1,30000,0.9037666916847229,0.8572428822517395,0.2640725374221802,0.35396814346313477,79.74666666666667,85.12404961984794,40,25
8,2022-5-13-7-43-42,RNN,1,1,0,0,0,0,30000,0.9485999941825867,0.8758503198623657,0.16585397720336914,0.3731946349143982,62.96333333333334,69.29771908763506,40,25
9,2022-5-13-7-43-42,RNN,1,1,0,0,0,1,30000,0.41503334045410156,0.4316726624965668,9.023103713989258,8.766422271728516,76.52333333333333,82.48299319727892,40,25
10,2022-5-13-7-43-42,RNN,1,1,0,1,0,0,30000,0.899066686630249,0.8606442809104919,0.2923123240470886,0.5462188720703125,62.96333333333334,69.29771908763506,40,25
