,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP
0,2022-5-12-14-39-54,RNN,0,1,0,0,0,0,1000,0.6140000224113464,0.597000002861023,0.6177425384521484,0.6722326874732971
1,2022-5-12-14-39-54,RNN,0,1,0,0,0,1,1000,0.6779999732971191,0.5870000123977661,0.6239843368530273,0.6803908944129944
2,2022-5-12-14-39-54,RNN,0,1,0,0,1,0,1000,0.777999997138977,0.6230000257492065,0.5883980393409729,0.6587062478065491
3,2022-5-12-14-39-54,RNN,0,1,0,0,1,1,1000,0.5540000200271606,0.5759999752044678,0.6434068083763123,0.6912245154380798
4,2022-5-12-14-39-54,RNN,0,1,0,1,0,0,1000,0.7699999809265137,0.6069999933242798,0.5847005844116211,0.6650509834289551
5,2022-5-12-14-39-54,RNN,0,1,0,1,0,1,1000,0.722000002861023,0.5989999771118164,0.5782410502433777,0.6724238991737366
6,2022-5-12-14-39-54,RNN,0,1,0,1,1,0,1000,0.7950000166893005,0.6549999713897705,0.4855296313762665,0.6171033382415771
7,2022-5-12-14-39-54,RNN,0,1,0,1,1,1,1000,0.46799999475479126,0.414000004529953,8.206084251403809,9.039020538330078
8,2022-5-12-14-39-54,RNN,0,1,1,0,0,0,1000,0.6930000185966492,0.6000000238418579,0.612673819065094,0.6669087409973145
9,2022-5-12-14-39-54,RNN,0,1,1,0,0,1,1000,0.6549999713897705,0.578000009059906,0.633878767490387,0.6843391060829163
10,2022-5-12-14-39-54,RNN,0,1,1,0,1,0,1000,0.7639999985694885,0.6169999837875366,0.6148676872253418,0.6617796421051025
11,2022-5-12-14-39-54,RNN,0,1,1,0,1,1,1000,0.6159999966621399,0.5740000009536743,0.6343742609024048,0.6859411597251892
12,2022-5-12-14-39-54,RNN,0,1,1,1,0,0,1000,0.7590000033378601,0.6079999804496765,0.6040803790092468,0.6630998849868774
13,2022-5-12-14-39-54,RNN,0,1,1,1,0,1,1000,0.6800000071525574,0.5839999914169312,0.6229740977287292,0.6782398819923401
14,2022-5-12-14-39-54,RNN,0,1,1,1,1,0,1000,0.781000018119812,0.6370000243186951,0.573704719543457,0.6517934203147888
15,2022-5-12-14-39-54,RNN,0,1,1,1,1,1,1000,0.6679999828338623,0.578000009059906,0.6226533651351929,0.6808773875236511
16,2022-5-12-14-39-54,RNN,1,1,0,0,0,0,1000,0.7749999761581421,0.6320000290870667,0.5790433287620544,0.6587518453598022
17,2022-5-12-14-39-54,RNN,1,1,0,0,0,1,1000,0.6970000267028809,0.5870000123977661,0.6173263788223267,0.6792446374893188
18,2022-5-12-14-39-54,RNN,1,1,0,0,1,0,1000,0.7689999938011169,0.6209999918937683,0.6006434559822083,0.6627261638641357
19,2022-5-12-14-39-54,RNN,1,1,0,0,1,1,1000,0.7120000123977661,0.5920000076293945,0.5977421998977661,0.6756619215011597
20,2022-5-12-14-39-54,RNN,1,1,0,1,0,0,1000,0.628000020980835,0.5899999737739563,0.6015033721923828,0.6741265058517456
21,2022-5-12-14-39-54,RNN,1,1,0,1,0,1,1000,0.5460000038146973,0.5789999961853027,0.6849132776260376,0.687735378742218
22,2022-5-12-14-39-54,RNN,1,1,0,1,1,0,1000,0.7760000228881836,0.6290000081062317,0.5832234621047974,0.6590600609779358
