,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-17-13-36-29,RNN,0,1,0,0,0,0,1000,0.9610000252723694,0.7641056180000305,0.11962055414915085,0.6804198622703552,82.69999999999999,69.26770708283313,40,25
1,2022-5-17-13-36-29,RNN,0,1,0,0,0,1,1000,0.7950000166893005,0.5870348215103149,0.5062307715415955,0.7737213969230652,93.30000000000001,83.53341336534615,40,25
2,2022-5-17-13-36-29,RNN,0,1,0,1,0,0,1000,0.7879999876022339,0.6190476417541504,0.516307532787323,0.7137365937232971,82.69999999999999,69.26770708283313,40,25
3,2022-5-17-13-36-29,RNN,0,1,0,1,0,1,1000,0.7960000038146973,0.5803321599960327,0.5051277875900269,0.7778700590133667,93.30000000000001,83.53341336534615,40,25
4,2022-5-17-13-36-29,RNN,0,1,1,0,0,0,1000,0.8069999814033508,0.6015406250953674,0.4825959801673889,0.7457531094551086,82.69999999999999,69.26770708283313,40,25
5,2022-5-17-13-36-29,RNN,0,1,1,0,0,1,1000,0.23600000143051147,0.4316726624965668,11.784663200378418,8.766422271728516,94.69999999999999,86.71468587434974,40,25
6,2022-5-17-13-36-29,RNN,0,1,1,1,0,0,1000,0.9309999942779541,0.7050820589065552,0.1762622594833374,0.6365114450454712,82.69999999999999,69.26770708283313,40,25
7,2022-5-17-13-36-29,RNN,0,1,1,1,0,1,1000,0.7929999828338623,0.5782312750816345,0.4887586832046509,0.7633147239685059,94.69999999999999,86.71468587434974,40,25
8,2022-5-17-13-36-29,RNN,1,1,0,0,0,0,1000,0.8040000200271606,0.6052420735359192,0.48581215739250183,0.7427990436553955,82.69999999999999,69.29771908763506,40,25
9,2022-5-17-13-36-29,RNN,1,1,0,0,0,1,1000,0.7749999761581421,0.5860344171524048,0.530483067035675,0.8256292939186096,93.4,83.69347739095639,40,25
10,2022-5-17-13-36-29,RNN,1,1,0,1,0,0,1000,0.23600000143051147,0.4316726624965668,11.784660339355469,8.766422271728516,82.69999999999999,69.29771908763506,40,25
11,2022-5-17-13-36-29,RNN,1,1,0,1,0,1,1000,0.7689999938011169,0.5770308375358582,0.5306500196456909,0.7995610237121582,93.4,83.69347739095639,40,25
12,2022-5-17-13-36-29,RNN,1,1,1,0,0,0,1000,0.7919999957084656,0.6093437671661377,0.5045781135559082,0.7238999605178833,82.69999999999999,69.29771908763506,40,25
13,2022-5-17-13-36-29,RNN,1,1,1,0,0,1,1000,0.7620000243186951,0.5681272745132446,0.5376702547073364,0.8050816655158997,94.69999999999999,86.75470188075231,40,25
14,2022-5-17-13-36-29,RNN,1,1,1,1,0,0,1000,0.8209999799728394,0.6118447184562683,0.4376961588859558,0.7341185212135315,82.69999999999999,69.29771908763506,40,25
15,2022-5-17-13-36-29,RNN,1,1,1,1,0,1,1000,0.23600000143051147,0.4316726624965668,11.784689903259277,8.766422271728516,94.69999999999999,86.75470188075231,40,25
