,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence
0,2022-5-12-21-50-42,RNN,0,1,0,0,0,0,1000,0.699999988079071,0.5963855385780334,0.5592306852340698,0.7044445872306824,68.7,76.70682730923694,50
1,2022-5-12-21-50-42,RNN,0,1,0,0,0,1,1000,0.5609999895095825,0.586345374584198,0.9943663477897644,0.7127686738967896,80.10000000000001,88.35341365461848,50
2,2022-5-12-21-50-42,RNN,0,1,0,0,1,0,1000,0.7020000219345093,0.595381498336792,0.5456710457801819,0.7068857550621033,68.7,76.70682730923694,50
3,2022-5-12-21-50-42,RNN,0,1,0,0,1,1,1000,0.6990000009536743,0.5883533954620361,0.5914236903190613,0.7233402729034424,79.60000000000001,88.05220883534136,50
4,2022-5-12-21-50-42,RNN,0,1,0,1,0,0,1000,0.6990000009536743,0.5903614163398743,0.5548182725906372,0.6898048520088196,68.7,76.70682730923694,50
5,2022-5-12-21-50-42,RNN,0,1,0,1,0,1,1000,0.6949999928474426,0.5893574357032776,0.6131876111030579,0.6994594931602478,80.10000000000001,88.35341365461848,50
6,2022-5-12-21-50-42,RNN,0,1,0,1,1,0,1000,0.7039999961853027,0.5923694968223572,0.554312527179718,0.7040812969207764,68.7,76.70682730923694,50
7,2022-5-12-21-50-42,RNN,0,1,0,1,1,1,1000,0.7080000042915344,0.5943775177001953,0.542043924331665,0.7267673015594482,79.60000000000001,88.05220883534136,50
8,2022-5-12-21-50-42,RNN,0,1,1,0,0,0,1000,0.5370000004768372,0.5883533954620361,0.9903851747512817,0.8294909596443176,68.7,76.70682730923694,50
9,2022-5-12-21-50-42,RNN,0,1,1,0,0,1,1000,0.7080000042915344,0.586345374584198,0.5774434208869934,0.7211277484893799,83.2,90.86345381526104,50
10,2022-5-12-21-50-42,RNN,0,1,1,0,1,0,1000,0.6840000152587891,0.5803213119506836,0.6083205342292786,0.6958062648773193,68.7,76.70682730923694,50
11,2022-5-12-21-50-42,RNN,0,1,1,0,1,1,1000,0.7059999704360962,0.5923694968223572,0.5506711602210999,0.7133793234825134,82.89999999999999,90.16064257028113,50
12,2022-5-12-21-50-42,RNN,0,1,1,1,0,0,1000,0.7120000123977661,0.5923694968223572,0.561653733253479,0.7055521607398987,68.7,76.70682730923694,50
13,2022-5-12-21-50-42,RNN,0,1,1,1,0,1,1000,0.699999988079071,0.5873494148254395,0.5864112973213196,0.7205660939216614,83.2,90.86345381526104,50
14,2022-5-12-21-50-42,RNN,0,1,1,1,1,0,1000,0.7689999938011169,0.6044176816940308,0.5251359343528748,0.6985677480697632,68.7,76.70682730923694,50
15,2022-5-12-21-50-42,RNN,0,1,1,1,1,1,1000,0.7009999752044678,0.586345374584198,0.6016828417778015,0.717631459236145,82.89999999999999,90.16064257028113,50
16,2022-5-12-21-50-42,RNN,1,1,0,0,0,0,1000,0.36800000071525574,0.39457830786705017,9.74857234954834,9.338598251342773,68.7,76.80722891566265,50
17,2022-5-12-21-50-42,RNN,1,1,0,0,0,1,1000,0.6949999928474426,0.586345374584198,0.5971338152885437,0.6989881992340088,80.2,88.55421686746988,50
18,2022-5-12-21-50-42,RNN,1,1,0,0,1,0,1000,0.722000002861023,0.5923694968223572,0.5538145303726196,0.7064557075500488,68.7,76.80722891566265,50
19,2022-5-12-21-50-42,RNN,1,1,0,0,1,1,1000,0.699999988079071,0.5903614163398743,0.571445643901825,0.7180452346801758,79.7,88.15261044176707,50
20,2022-5-12-21-50-42,RNN,1,1,0,1,0,0,1000,0.7409999966621399,0.6004015803337097,0.5507680773735046,0.7104853987693787,68.7,76.80722891566265,50
21,2022-5-12-21-50-42,RNN,1,1,0,1,0,1,1000,0.699999988079071,0.586345374584198,0.5736381411552429,0.7043586373329163,80.2,88.55421686746988,50
22,2022-5-12-21-50-42,RNN,1,1,0,1,1,0,1000,0.718999981880188,0.595381498336792,0.542958676815033,0.7100882530212402,68.7,76.80722891566265,50
23,2022-5-12-21-50-42,RNN,1,1,0,1,1,1,1000,0.699999988079071,0.5933734774589539,0.5944252610206604,0.6953710913658142,79.7,88.15261044176707,50
24,2022-5-12-21-50-42,RNN,1,1,1,0,0,0,1000,0.6949999928474426,0.5883533954620361,0.5803159475326538,0.7139838933944702,68.7,76.80722891566265,50
25,2022-5-12-21-50-42,RNN,1,1,1,0,0,1,1000,0.453000009059906,0.5873494148254395,1.923824667930603,0.8221216797828674,83.39999999999999,90.86345381526104,50
26,2022-5-12-21-50-42,RNN,1,1,1,0,1,0,1000,0.6940000057220459,0.5903614163398743,0.5883527994155884,0.7142899632453918,68.7,76.80722891566265,50
27,2022-5-12-21-50-42,RNN,1,1,1,0,1,1,1000,0.7020000219345093,0.5853413939476013,0.5735905170440674,0.7207009792327881,83.2,90.16064257028113,50
28,2022-5-12-21-50-42,RNN,1,1,1,1,0,0,1000,0.7260000109672546,0.6034136414527893,0.5472204685211182,0.7155049443244934,68.7,76.80722891566265,50
29,2022-5-12-21-50-42,RNN,1,1,1,1,0,1,1000,0.7020000219345093,0.5893574357032776,0.5927414298057556,0.7209099531173706,83.39999999999999,90.86345381526104,50
30,2022-5-12-21-50-42,RNN,1,1,1,1,1,0,1000,0.6959999799728394,0.5943775177001953,0.5777298212051392,0.7085949778556824,68.7,76.80722891566265,50
31,2022-5-12-21-50-42,RNN,1,1,1,1,1,1,1000,0.703000009059906,0.5883533954620361,0.5958611369132996,0.7095056176185608,83.2,90.16064257028113,50
