,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-12-22-22-15,RNN,0,1,0,0,0,0,1000,0.3240000009536743,0.578000009059906,0.9139956831932068,0.7372339963912964,88.6,75.4,50,200
1,2022-5-12-22-22-15,RNN,0,1,0,0,0,1,1000,0.4309999942779541,0.5799999833106995,0.8621193766593933,0.7430211305618286,94.6,86.2,50,200
2,2022-5-12-22-22-15,RNN,0,1,0,0,1,0,1000,0.48100000619888306,0.5740000009536743,0.7822591066360474,0.7521010637283325,88.6,75.4,50,200
3,2022-5-12-22-22-15,RNN,0,1,0,0,1,1,1000,0.23600000143051147,0.41499999165534973,4.23257303237915,1.1060149669647217,94.6,86.0,50,200
4,2022-5-12-22-22-15,RNN,0,1,0,1,0,0,1000,0.49900001287460327,0.5699999928474426,0.7275151014328003,0.8466101288795471,88.6,75.4,50,200
5,2022-5-12-22-22-15,RNN,0,1,0,1,0,1,1000,0.7480000257492065,0.5699999928474426,0.6270332932472229,0.7058837413787842,94.6,86.2,50,200
6,2022-5-12-22-22-15,RNN,0,1,0,1,1,0,1000,0.23600000143051147,0.41499999165534973,2.304137945175171,1.1891865730285645,88.6,75.4,50,200
7,2022-5-12-22-22-15,RNN,0,1,0,1,1,1,1000,0.7639999985694885,0.5809999704360962,0.5893599390983582,0.9394338130950928,94.6,86.0,50,200
8,2022-5-12-22-22-15,RNN,0,1,1,0,0,0,1000,0.4790000021457672,0.5730000138282776,0.7932495474815369,0.7686740159988403,88.6,75.4,50,200
9,2022-5-12-22-22-15,RNN,0,1,1,0,0,1,1000,0.23600000143051147,0.41499999165534973,9.8674898147583,1.6975693702697754,95.5,88.6,50,200
10,2022-5-12-22-22-15,RNN,0,1,1,0,1,0,1000,0.335999995470047,0.5720000267028809,0.9174076318740845,0.7182742953300476,88.6,75.4,50,200
11,2022-5-12-22-22-15,RNN,0,1,1,0,1,1,1000,0.7559999823570251,0.5860000252723694,0.5511316061019897,0.7498529553413391,95.19999999999999,88.2,50,200
12,2022-5-12-22-22-15,RNN,0,1,1,1,0,0,1000,0.23600000143051147,0.41499999165534973,4.608161449432373,1.3158279657363892,88.6,75.4,50,200
13,2022-5-12-22-22-15,RNN,0,1,1,1,0,1,1000,0.23600000143051147,0.41499999165534973,6.340899467468262,1.2203339338302612,95.5,88.6,50,200
14,2022-5-12-22-22-15,RNN,0,1,1,1,1,0,1000,0.23600000143051147,0.41499999165534973,9.822920799255371,1.7150920629501343,88.6,75.4,50,200
15,2022-5-12-22-22-15,RNN,0,1,1,1,1,1,1000,0.75,0.5759999752044678,0.6285364031791687,0.7165827751159668,95.19999999999999,88.2,50,200
16,2022-5-12-22-22-15,RNN,1,1,0,0,0,0,1000,0.23600000143051147,0.5669999718666077,0.9726365804672241,0.7875033020973206,88.6,75.4,50,200
17,2022-5-12-22-22-15,RNN,1,1,0,0,0,1,1000,0.23600000143051147,0.41499999165534973,2.280242681503296,1.0088562965393066,94.6,86.2,50,200
18,2022-5-12-22-22-15,RNN,1,1,0,0,1,0,1000,0.7210000157356262,0.5720000267028809,0.6454616189002991,0.7175388336181641,88.6,75.4,50,200
19,2022-5-12-22-22-15,RNN,1,1,0,0,1,1,1000,0.5680000185966492,0.5799999833106995,0.6881961822509766,0.8739351034164429,94.6,86.0,50,200
