,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-12-22-30-32,RNN,0,1,0,0,0,0,1000,0.7760000228881836,0.5799999833106995,0.5354277491569519,0.739143967628479,95.8,89.5,100,25
1,2022-5-12-22-30-32,RNN,0,1,0,0,0,1,1000,0.6779999732971191,0.5690000057220459,0.6998399496078491,0.8288525342941284,99.3,94.19999999999999,100,25
2,2022-5-12-22-30-32,RNN,0,1,0,0,1,0,1000,0.7820000052452087,0.5820000171661377,0.5218240022659302,0.753065288066864,95.8,89.5,100,25
3,2022-5-12-22-30-32,RNN,0,1,0,0,1,1,1000,0.6399999856948853,0.5699999928474426,0.6429412961006165,0.7376206517219543,99.1,94.19999999999999,100,25
4,2022-5-12-22-30-32,RNN,0,1,0,1,0,0,1000,0.7639999985694885,0.5770000219345093,0.5415058732032776,0.756442666053772,95.8,89.5,100,25
5,2022-5-12-22-30-32,RNN,0,1,0,1,0,1,1000,0.23600000143051147,0.41499999165534973,11.784669876098633,9.023595809936523,99.3,94.19999999999999,100,25
6,2022-5-12-22-30-32,RNN,0,1,0,1,1,0,1000,0.7639999985694885,0.578000009059906,0.5345426797866821,0.7665257453918457,95.8,89.5,100,25
7,2022-5-12-22-30-32,RNN,0,1,0,1,1,1,1000,0.6589999794960022,0.5690000057220459,0.716071605682373,0.7516491413116455,99.1,94.19999999999999,100,25
8,2022-5-12-22-30-32,RNN,0,1,1,0,0,0,1000,0.7820000052452087,0.5809999704360962,0.5310436487197876,0.7601654529571533,95.8,89.5,100,25
9,2022-5-12-22-30-32,RNN,0,1,1,0,0,1,1000,0.5379999876022339,0.5690000057220459,2.50996732711792,0.7613440155982971,99.3,94.89999999999999,100,25
10,2022-5-12-22-30-32,RNN,0,1,1,0,1,0,1000,0.7639999985694885,0.5770000219345093,0.5381006002426147,0.7971605062484741,95.8,89.5,100,25
11,2022-5-12-22-30-32,RNN,0,1,1,0,1,1,1000,0.6729999780654907,0.5690000057220459,0.7199363112449646,0.7582539916038513,99.3,94.8,100,25
12,2022-5-12-22-30-32,RNN,0,1,1,1,0,0,1000,0.7839999794960022,0.5809999704360962,0.5269689559936523,0.7569180727005005,95.8,89.5,100,25
13,2022-5-12-22-30-32,RNN,0,1,1,1,0,1,1000,0.6420000195503235,0.5690000057220459,0.7716957926750183,0.7727223634719849,99.3,94.89999999999999,100,25
14,2022-5-12-22-30-32,RNN,0,1,1,1,1,0,1000,0.765999972820282,0.5809999704360962,0.5410809516906738,0.8083572387695312,95.8,89.5,100,25
15,2022-5-12-22-30-32,RNN,0,1,1,1,1,1,1000,0.6520000100135803,0.5690000057220459,0.7562036514282227,0.7594924569129944,99.3,94.8,100,25
16,2022-5-12-22-30-32,RNN,1,1,0,0,0,0,1000,0.7649999856948853,0.5770000219345093,0.5388346910476685,0.7971837520599365,95.8,89.5,100,25
17,2022-5-12-22-30-32,RNN,1,1,0,0,0,1,1000,0.6539999842643738,0.5699999928474426,0.9838012456893921,0.8257133960723877,99.3,94.19999999999999,100,25
18,2022-5-12-22-30-32,RNN,1,1,0,0,1,0,1000,0.23600000143051147,0.41499999165534973,11.784671783447266,9.023595809936523,95.8,89.5,100,25
19,2022-5-12-22-30-32,RNN,1,1,0,0,1,1,1000,0.7609999775886536,0.5680000185966492,0.5490598678588867,0.776011049747467,99.1,94.19999999999999,100,25
20,2022-5-12-22-30-32,RNN,1,1,0,1,0,0,1000,0.7799999713897705,0.5799999833106995,0.5276660323143005,0.7571709156036377,95.8,89.5,100,25
21,2022-5-12-22-30-32,RNN,1,1,0,1,0,1,1000,0.23600000143051147,0.41499999165534973,11.784666061401367,9.023595809936523,99.3,94.19999999999999,100,25
22,2022-5-12-22-30-32,RNN,1,1,0,1,1,0,1000,0.23600000143051147,0.41499999165534973,11.784661293029785,8.953164100646973,95.8,89.5,100,25
23,2022-5-12-22-30-32,RNN,1,1,0,1,1,1,1000,0.7609999775886536,0.5690000057220459,0.5473752021789551,0.7698575854301453,99.1,94.19999999999999,100,25
24,2022-5-12-22-30-32,RNN,1,1,1,0,0,0,1000,0.7620000243186951,0.5770000219345093,0.5413162708282471,0.7765941023826599,95.8,89.5,100,25
25,2022-5-12-22-30-32,RNN,1,1,1,0,0,1,1000,0.7590000033378601,0.5690000057220459,0.5528823137283325,0.7931690216064453,99.3,94.89999999999999,100,25
26,2022-5-12-22-30-32,RNN,1,1,1,0,1,0,1000,0.7680000066757202,0.5789999961853027,0.5324638485908508,0.775798499584198,95.8,89.5,100,25
27,2022-5-12-22-30-32,RNN,1,1,1,0,1,1,1000,0.23600000143051147,0.41499999165534973,11.784667015075684,9.023595809936523,99.3,94.8,100,25
28,2022-5-12-22-30-32,RNN,1,1,1,1,0,0,1000,0.7749999761581421,0.5770000219345093,0.5320624113082886,0.7610894441604614,95.8,89.5,100,25
29,2022-5-12-22-30-32,RNN,1,1,1,1,0,1,1000,0.6579999923706055,0.5690000057220459,0.7459134459495544,0.7948732376098633,99.3,94.89999999999999,100,25
30,2022-5-12-22-30-32,RNN,1,1,1,1,1,0,1000,0.777999997138977,0.5830000042915344,0.5302273631095886,0.7559517025947571,95.8,89.5,100,25
31,2022-5-12-22-30-32,RNN,1,1,1,1,1,1,1000,0.25,0.5709999799728394,6.214762210845947,0.7052892446517944,99.3,94.8,100,25
