,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-19-21-13-35,-,0,1,0,0,0,0,30000,,,,,62.970000000000006,69.26770708283313,,,43725.0
1,2022-5-19-21-13-35,-,0,1,0,0,0,1,30000,,,,,77.83333333333333,83.53341336534615,,,43662.0
2,2022-5-19-21-13-35,-,0,1,0,1,0,0,30000,,,,,62.970000000000006,69.26770708283313,,,43725.0
3,2022-5-19-21-13-35,-,0,1,0,1,0,1,30000,,,,,77.83333333333333,83.53341336534615,,,43662.0
4,2022-5-19-21-13-35,-,0,1,1,0,0,0,30000,,,,,62.970000000000006,69.26770708283313,,,29786.0
5,2022-5-19-21-13-35,-,0,1,1,0,0,1,30000,,,,,81.40333333333334,86.71468587434974,,,29370.0
6,2022-5-19-21-13-35,-,0,1,1,1,0,0,30000,,,,,62.970000000000006,69.26770708283313,,,29786.0
7,2022-5-19-21-13-35,-,0,1,1,1,0,1,30000,,,,,81.40333333333334,86.71468587434974,,,29370.0
8,2022-5-19-21-13-35,-,1,1,0,0,0,0,30000,,,,,62.96333333333334,69.29771908763506,,,43634.0
9,2022-5-19-21-13-35,-,1,1,0,0,0,1,30000,,,,,78.04333333333334,83.69347739095639,,,43571.0
10,2022-5-19-21-13-35,-,1,1,0,1,0,0,30000,,,,,62.96333333333334,69.29771908763506,,,43634.0
11,2022-5-19-21-13-35,-,1,1,0,1,0,1,30000,,,,,78.04333333333334,83.69347739095639,,,43571.0
12,2022-5-19-21-13-35,-,1,1,1,0,0,0,30000,,,,,62.96333333333334,69.29771908763506,,,29756.0
13,2022-5-19-21-13-35,-,1,1,1,0,0,1,30000,,,,,81.46,86.75470188075231,,,29341.0
14,2022-5-19-21-13-35,-,1,1,1,1,0,0,30000,,,,,62.96333333333334,69.29771908763506,,,29756.0
15,2022-5-19-21-13-35,-,1,1,1,1,0,1,30000,,,,,81.46,86.75470188075231,,,29341.0
