,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP
0,2022-5-12-15-23-16,RNN,0,1,0,0,0,0,3000,0.9416666626930237,0.8343333601951599,0.17486035823822021,0.46745219826698303
1,2022-5-12-15-23-16,RNN,0,1,0,0,0,1,3000,0.9326666593551636,0.8136666417121887,0.1924533247947693,0.5901637077331543
2,2022-5-12-15-23-16,RNN,0,1,0,0,1,0,3000,0.937333345413208,0.847000002861023,0.17137369513511658,0.5186855792999268
3,2022-5-12-15-23-16,RNN,0,1,0,0,1,1,3000,0.8926666378974915,0.7846666574478149,0.2702464163303375,0.6072824001312256
4,2022-5-12-15-23-16,RNN,0,1,0,1,0,0,3000,0.9330000281333923,0.824999988079071,0.19982507824897766,0.5543196797370911
5,2022-5-12-15-23-16,RNN,0,1,0,1,0,1,3000,0.7143333554267883,0.590666651725769,0.5421696901321411,0.6921937465667725
6,2022-5-12-15-23-16,RNN,0,1,0,1,1,0,3000,0.8759999871253967,0.7823333144187927,0.2734012305736542,0.47950711846351624
7,2022-5-12-15-23-16,RNN,0,1,0,1,1,1,3000,0.9476666450500488,0.8296666741371155,0.1720883548259735,0.4581511616706848
8,2022-5-12-15-23-16,RNN,0,1,1,0,0,0,3000,0.937333345413208,0.8333333134651184,0.16485758125782013,0.48900261521339417
9,2022-5-12-15-23-16,RNN,0,1,1,0,0,1,3000,0.9323333501815796,0.8019999861717224,0.19688960909843445,0.5014891624450684
10,2022-5-12-15-23-16,RNN,0,1,1,0,1,0,3000,0.9183333516120911,0.8183333277702332,0.2311895191669464,0.5859410166740417
11,2022-5-12-15-23-16,RNN,0,1,1,0,1,1,3000,0.8806666731834412,0.7906666398048401,0.3211517632007599,0.6416002511978149
12,2022-5-12-15-23-16,RNN,0,1,1,1,0,0,3000,0.9423333406448364,0.8336666822433472,0.1738748997449875,0.5637449622154236
13,2022-5-12-15-23-16,RNN,0,1,1,1,0,1,3000,0.9246666431427002,0.8106666803359985,0.20349687337875366,0.5858743786811829
14,2022-5-12-15-23-16,RNN,0,1,1,1,1,0,3000,0.8939999938011169,0.7706666588783264,0.26831090450286865,0.5484378933906555
15,2022-5-12-15-23-16,RNN,0,1,1,1,1,1,3000,0.9276666641235352,0.8133333325386047,0.21011677384376526,0.5445667505264282
16,2022-5-12-15-23-16,RNN,1,1,0,0,0,0,3000,0.9256666898727417,0.8333333134651184,0.19347909092903137,0.5441083312034607
17,2022-5-12-15-23-16,RNN,1,1,0,0,0,1,3000,0.9256666898727417,0.8096666932106018,0.19368204474449158,0.540515124797821
18,2022-5-12-15-23-16,RNN,1,1,0,0,1,0,3000,0.7749999761581421,0.628333330154419,0.5073278546333313,0.6799617409706116
19,2022-5-12-15-23-16,RNN,1,1,0,0,1,1,3000,0.4429999887943268,0.42266666889190674,8.59170150756836,8.9053373336792
20,2022-5-12-15-23-16,RNN,1,1,0,1,0,0,3000,0.9156666398048401,0.8223333358764648,0.22788454592227936,0.5342455506324768
21,2022-5-12-15-23-16,RNN,1,1,0,1,0,1,3000,0.8956666588783264,0.8149999976158142,0.2865390479564667,0.5482929944992065
22,2022-5-12-15-23-16,RNN,1,1,0,1,1,0,3000,0.9363333582878113,0.8353333473205566,0.2130281925201416,0.5155561566352844
