Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,label_array,Vocabulary Size
2022-5-23-13-24-19,RNN,0,1,0,0,0,0,10000,0.734600008,0.729791939,3.556742191,3.107629299,80.39,84.10364146,70,25,"[0, 1, 0, 0, 0, 0]",30403
2022-5-25-13-17-21,RNN,0,1,0,0,1,0,10000,0.810800016,0.742997169,0.880265117,1.028785706,80.39,84.10364146,70,25,"[0, 1, 0, 0, 1, 0]",28841
2022-5-25-13-33-16,RNN,0,1,1,0,1,0,10000,0.963699996,0.856342554,0.113288365,0.403147995,80.39,84.10364146,70,25,"[0, 1, 1, 0, 1, 0]",20040
2022-5-23-13-24-19,RNN,0,1,1,0,0,0,10000,0.960900009,0.857843161,0.135138288,0.43543449,80.39,84.10364146,70,25,"[0, 1, 1, 0, 0, 0]",22711
2022-5-23-13-24-19,RNN,0,1,1,1,0,0,10000,0.963100016,0.861544609,0.123744003,0.416476399,80.39,84.10364146,70,25,"[0, 1, 1, 1, 0, 0]",22711
2022-5-25-13-42-39,RNN,0,1,1,1,1,0,10000,0.946500003,0.862144887,0.154017314,0.367222607,80.39,84.10364146,70,25,"[0, 1, 1, 1, 1, 0]",20040
2022-5-25-15-1-36,RNN,0,1,0,1,1,0,10000,0.914099991,0.868447363,0.247416869,0.348648578,80.39,84.10364146,70,25,"[0, 1, 0, 1, 1, 0]",28841
2022-5-25-15-15-12,RNN,0,1,0,1,0,0,10000,0.963999987,0.868747473,0.118512221,0.368567973,80.39,84.10364146,70,25,"[0, 1, 0, 1, 0, 0]",30403
2022-5-23-13-24-19,RNN,1,1,0,1,0,0,10000,0.729900002,0.845037997,0.585173011,0.405284852,80.37,84.14365746,70,25,"[1, 1, 0, 1, 0, 0]",30326
2022-5-23-17-22-59,RNN,1,1,1,1,0,0,10000,0.76730001,0.849139631,0.523557544,0.37519142,80.37,84.14365746,70,25,"[1, 1, 1, 1, 0, 0]",22680
2022-5-25-14-14-50,RNN,1,1,1,1,1,0,10000,0.886200011,0.857743084,0.305554718,0.378418714,80.37,84.14365746,70,25,"[1, 1, 1, 1, 1, 0]",20015
2022-5-25-13-48-49,RNN,1,1,0,0,1,0,10000,0.946799994,0.860344112,0.171036318,0.358037919,80.37,84.14365746,70,25,"[1, 1, 0, 0, 1, 0]",28769
2022-5-25-14-5-6,RNN,1,1,1,0,1,0,10000,0.96390003,0.864645839,0.121162266,0.394668549,80.37,84.14365746,70,25,"[1, 1, 1, 0, 1, 0]",20015
2022-5-23-13-24-19,RNN,1,1,1,0,0,0,10000,0.908800006,0.864745915,0.253692985,0.374890983,80.37,84.14365746,70,25,"[1, 1, 1, 0, 0, 0]",22680
2022-5-25-13-58-32,RNN,1,1,0,1,1,0,10000,0.956700027,0.866246521,0.149914801,0.408849269,80.37,84.14365746,70,25,"[1, 1, 0, 1, 1, 0]",28769
2022-5-23-13-24-19,RNN,1,1,0,0,0,0,10000,0.962700009,0.868447363,0.128415108,0.381826282,80.37,84.14365746,70,25,"[1, 1, 0, 0, 0, 0]",30326
